premise	hypothesis	determiner_type	noun_category	environment	hypothesis_polarity	determiner	context
Every doctor hit the ball.	There was at least one doctor.	strong	real	unembedded	positive	every	neutral
Every engineer let the dog in.	There was at least one engineer.	strong	real	unembedded	positive	every	neutral
Every assistant hit the ball.	There was at least one assistant.	strong	real	unembedded	positive	every	neutral
Every teacher put on a jacket.	There was at least one teacher.	strong	real	unembedded	positive	every	neutral
Every boy hit the ball.	There was at least one boy.	strong	real	unembedded	positive	every	neutral
Every student put the book on the shelf.	There was at least one student.	strong	real	unembedded	positive	every	neutral
Every doctor set the table.	There was at least one doctor.	strong	real	unembedded	positive	every	neutral
Every actor cut the ribbon.	There was at least one actor.	strong	real	unembedded	positive	every	neutral
Every engineer cast bronze into a statue.	There was at least one engineer.	strong	real	unembedded	positive	every	neutral
Every boy put the book on the shelf.	There was at least one boy.	strong	real	unembedded	positive	every	neutral
Every professor upset the boat.	There was at least one professor.	strong	real	unembedded	positive	every	neutral
Every doctor burst into the room.	There was at least one doctor.	strong	real	unembedded	positive	every	neutral
Every girl slit the envelope.	There was at least one girl.	strong	real	unembedded	positive	every	neutral
Every student spread the rumor.	There was at least one student.	strong	real	unembedded	positive	every	neutral
Every kid broadcast the message.	There was at least one kid.	strong	real	unembedded	positive	every	neutral
Every worker read the letter.	There was at least one worker.	strong	real	unembedded	positive	every	neutral
Every engineer broadcast the message.	There was at least one engineer.	strong	real	unembedded	positive	every	neutral
Every professor cast bronze into a statue.	There was at least one professor.	strong	real	unembedded	positive	every	neutral
Every engineer read the letter.	There was at least one engineer.	strong	real	unembedded	positive	every	neutral
Every singer hit the lights.	There was at least one singer.	strong	real	unembedded	positive	every	neutral
Every professor hit the gong.	There was at least one professor.	strong	real	unembedded	positive	every	neutral
Every doctor upset the boat.	There was at least one doctor.	strong	real	unembedded	positive	every	neutral
Every student put on a jacket.	There was at least one student.	strong	real	unembedded	positive	every	neutral
Every doctor spread the rumor.	There was at least one doctor.	strong	real	unembedded	positive	every	neutral
Every student slit the envelope.	There was at least one student.	strong	real	unembedded	positive	every	neutral
Every student hurt others.	There was at least one student.	strong	real	unembedded	positive	every	neutral
Every actor broadcast the message.	There was at least one actor.	strong	real	unembedded	positive	every	neutral
Every athlete hurt others.	There was at least one athlete.	strong	real	unembedded	positive	every	neutral
Every assistant burst into the room.	There was at least one assistant.	strong	real	unembedded	positive	every	neutral
Every actor cut the ribbon.	There was at least one actor.	strong	real	unembedded	positive	every	neutral
Every singer set the table.	There was at least one singer.	strong	real	unembedded	positive	every	neutral
Every engineer hit the lights.	There was at least one engineer.	strong	real	unembedded	positive	every	neutral
Every worker upset the boat.	There was at least one worker.	strong	real	unembedded	positive	every	neutral
Every assistant thrust the fork into the cake.	There was at least one assistant.	strong	real	unembedded	positive	every	neutral
Every singer hurt others.	There was at least one singer.	strong	real	unembedded	positive	every	neutral
Every director shut the door.	There was at least one director.	strong	real	unembedded	positive	every	neutral
Every athlete thrust the fork into the cake.	There was at least one athlete.	strong	real	unembedded	positive	every	neutral
Every manager put on a jacket.	There was at least one manager.	strong	real	unembedded	positive	every	neutral
Every worker broadcast the message.	There was at least one worker.	strong	real	unembedded	positive	every	neutral
Every worker thrust the fork into the cake.	There was at least one worker.	strong	real	unembedded	positive	every	neutral
Every worker hit the lights.	There was at least one worker.	strong	real	unembedded	positive	every	neutral
Every singer hurt others.	There was at least one singer.	strong	real	unembedded	positive	every	neutral
Every professor cast bronze into a statue.	There was at least one professor.	strong	real	unembedded	positive	every	neutral
Every boy slit the envelope.	There was at least one boy.	strong	real	unembedded	positive	every	neutral
Every manager spread the rumor.	There was at least one manager.	strong	real	unembedded	positive	every	neutral
Every athlete hit the lights.	There was at least one athlete.	strong	real	unembedded	positive	every	neutral
Every teacher broadcast the message.	There was at least one teacher.	strong	real	unembedded	positive	every	neutral
Every student cast bronze into a statue.	There was at least one student.	strong	real	unembedded	positive	every	neutral
Every boy thrust the fork into the cake.	There was at least one boy.	strong	real	unembedded	positive	every	neutral
Every girl shut the door.	There was at least one girl.	strong	real	unembedded	positive	every	neutral
Every teacher broadcast the message.	There was at least one teacher.	strong	real	unembedded	positive	every	neutral
Every worker hurt others.	There was at least one worker.	strong	real	unembedded	positive	every	neutral
Every singer hurt others.	There was at least one singer.	strong	real	unembedded	positive	every	neutral
Every manager set the table.	There was at least one manager.	strong	real	unembedded	positive	every	neutral
Every student spread the rumor.	There was at least one student.	strong	real	unembedded	positive	every	neutral
Every doctor slit the envelope.	There was at least one doctor.	strong	real	unembedded	positive	every	neutral
Every engineer cut the ribbon.	There was at least one engineer.	strong	real	unembedded	positive	every	neutral
Every doctor read the letter.	There was at least one doctor.	strong	real	unembedded	positive	every	neutral
Every student cast bronze into a statue.	There was at least one student.	strong	real	unembedded	positive	every	neutral
Every teacher cut the ribbon.	There was at least one teacher.	strong	real	unembedded	positive	every	neutral
Every boy spread the rumor.	There was at least one boy.	strong	real	unembedded	positive	every	neutral
Every professor thrust the fork into the cake.	There was at least one professor.	strong	real	unembedded	positive	every	neutral
Every girl hit the lights.	There was at least one girl.	strong	real	unembedded	positive	every	neutral
Every doctor hurt others.	There was at least one doctor.	strong	real	unembedded	positive	every	neutral
Most teachers hit the lights.	There was at least one teacher.	strong	real	unembedded	positive	most	neutral
Most workers broadcast the message.	There was at least one worker.	strong	real	unembedded	positive	most	neutral
Most doctors burst into the room.	There was at least one doctor.	strong	real	unembedded	positive	most	neutral
Most engineers upset the boat.	There was at least one engineer.	strong	real	unembedded	positive	most	neutral
Most directors shut the door.	There was at least one director.	strong	real	unembedded	positive	most	neutral
Most engineers put the book on the shelf.	There was at least one engineer.	strong	real	unembedded	positive	most	neutral
Most athletes put on a jacket.	There was at least one athlete.	strong	real	unembedded	positive	most	neutral
Most assistants cut the ribbon.	There was at least one assistant.	strong	real	unembedded	positive	most	neutral
Most athletes cut the ribbon.	There was at least one athlete.	strong	real	unembedded	positive	most	neutral
Most actors upset the boat.	There was at least one actor.	strong	real	unembedded	positive	most	neutral
Most singers shut the door.	There was at least one singer.	strong	real	unembedded	positive	most	neutral
Most directors read the letter.	There was at least one director.	strong	real	unembedded	positive	most	neutral
Most athletes broadcast the message.	There was at least one athlete.	strong	real	unembedded	positive	most	neutral
Most managers upset the boat.	There was at least one manager.	strong	real	unembedded	positive	most	neutral
Most professors let the dog in.	There was at least one professor.	strong	real	unembedded	positive	most	neutral
Most kids burst into the room.	There was at least one kid.	strong	real	unembedded	positive	most	neutral
Most managers slit the envelope.	There was at least one manager.	strong	real	unembedded	positive	most	neutral
Most professors broadcast the message.	There was at least one professor.	strong	real	unembedded	positive	most	neutral
Most doctors hit the gong.	There was at least one doctor.	strong	real	unembedded	positive	most	neutral
Most singers put on a jacket.	There was at least one singer.	strong	real	unembedded	positive	most	neutral
Most kids cast bronze into a statue.	There was at least one kid.	strong	real	unembedded	positive	most	neutral
Most engineers hurt others.	There was at least one engineer.	strong	real	unembedded	positive	most	neutral
Most professors hit the gong.	There was at least one professor.	strong	real	unembedded	positive	most	neutral
Most girls hit the ball.	There was at least one girl.	strong	real	unembedded	positive	most	neutral
Most singers read the letter.	There was at least one singer.	strong	real	unembedded	positive	most	neutral
Most assistants broadcast the message.	There was at least one assistant.	strong	real	unembedded	positive	most	neutral
Most assistants cut the ribbon.	There was at least one assistant.	strong	real	unembedded	positive	most	neutral
Most actors set the table.	There was at least one actor.	strong	real	unembedded	positive	most	neutral
Most managers put on a jacket.	There was at least one manager.	strong	real	unembedded	positive	most	neutral
Most engineers cut the ribbon.	There was at least one engineer.	strong	real	unembedded	positive	most	neutral
Most girls cut the ribbon.	There was at least one girl.	strong	real	unembedded	positive	most	neutral
Most workers hit the lights.	There was at least one worker.	strong	real	unembedded	positive	most	neutral
Most assistants thrust the fork into the cake.	There was at least one assistant.	strong	real	unembedded	positive	most	neutral
Most students hit the gong.	There was at least one student.	strong	real	unembedded	positive	most	neutral
Most singers set the table.	There was at least one singer.	strong	real	unembedded	positive	most	neutral
Most doctors hit the ball.	There was at least one doctor.	strong	real	unembedded	positive	most	neutral
Most doctors cut the ribbon.	There was at least one doctor.	strong	real	unembedded	positive	most	neutral
Most directors let the dog in.	There was at least one director.	strong	real	unembedded	positive	most	neutral
Most professors cast bronze into a statue.	There was at least one professor.	strong	real	unembedded	positive	most	neutral
Most managers let the dog in.	There was at least one manager.	strong	real	unembedded	positive	most	neutral
Most boys cast bronze into a statue.	There was at least one boy.	strong	real	unembedded	positive	most	neutral
Most doctors slit the envelope.	There was at least one doctor.	strong	real	unembedded	positive	most	neutral
Most girls spread the rumor.	There was at least one girl.	strong	real	unembedded	positive	most	neutral
Most engineers hit the gong.	There was at least one engineer.	strong	real	unembedded	positive	most	neutral
Most directors let the dog in.	There was at least one director.	strong	real	unembedded	positive	most	neutral
Most doctors thrust the fork into the cake.	There was at least one doctor.	strong	real	unembedded	positive	most	neutral
Most boys burst into the room.	There was at least one boy.	strong	real	unembedded	positive	most	neutral
Most directors read the letter.	There was at least one director.	strong	real	unembedded	positive	most	neutral
Most students put on a jacket.	There was at least one student.	strong	real	unembedded	positive	most	neutral
Most actors broadcast the message.	There was at least one actor.	strong	real	unembedded	positive	most	neutral
Most assistants put the book on the shelf.	There was at least one assistant.	strong	real	unembedded	positive	most	neutral
Most athletes spread the rumor.	There was at least one athlete.	strong	real	unembedded	positive	most	neutral
Most engineers cast bronze into a statue.	There was at least one engineer.	strong	real	unembedded	positive	most	neutral
Most assistants hit the ball.	There was at least one assistant.	strong	real	unembedded	positive	most	neutral
Most doctors hit the ball.	There was at least one doctor.	strong	real	unembedded	positive	most	neutral
Most teachers let the dog in.	There was at least one teacher.	strong	real	unembedded	positive	most	neutral
Most engineers set the table.	There was at least one engineer.	strong	real	unembedded	positive	most	neutral
Most professors cut the ribbon.	There was at least one professor.	strong	real	unembedded	positive	most	neutral
Most doctors upset the boat.	There was at least one doctor.	strong	real	unembedded	positive	most	neutral
Most managers broadcast the message.	There was at least one manager.	strong	real	unembedded	positive	most	neutral
Most kids spread the rumor.	There was at least one kid.	strong	real	unembedded	positive	most	neutral
Most girls burst into the room.	There was at least one girl.	strong	real	unembedded	positive	most	neutral
Most athletes thrust the fork into the cake.	There was at least one athlete.	strong	real	unembedded	positive	most	neutral
Most managers hit the gong.	There was at least one manager.	strong	real	unembedded	positive	most	neutral
Most teachers hit the lights.	There was at least one teacher.	strong	real	unembedded	positive	most	neutral
Most doctors broadcast the message.	There was at least one doctor.	strong	real	unembedded	positive	most	neutral
Most athletes let the dog in.	There was at least one athlete.	strong	real	unembedded	positive	most	neutral
Most doctors put on a jacket.	There was at least one doctor.	strong	real	unembedded	positive	most	neutral
Most kids cast bronze into a statue.	There was at least one kid.	strong	real	unembedded	positive	most	neutral
Most engineers set the table.	There was at least one engineer.	strong	real	unembedded	positive	most	neutral
Most workers read the letter.	There was at least one worker.	strong	real	unembedded	positive	most	neutral
Most doctors cast bronze into a statue.	There was at least one doctor.	strong	real	unembedded	positive	most	neutral
Most managers burst into the room.	There was at least one manager.	strong	real	unembedded	positive	most	neutral
Most actors put on a jacket.	There was at least one actor.	strong	real	unembedded	positive	most	neutral
Most kids hit the gong.	There was at least one kid.	strong	real	unembedded	positive	most	neutral
Most directors thrust the fork into the cake.	There was at least one director.	strong	real	unembedded	positive	most	neutral
Most directors put on a jacket.	There was at least one director.	strong	real	unembedded	positive	most	neutral
Most managers shut the door.	There was at least one manager.	strong	real	unembedded	positive	most	neutral
Most kids hit the ball.	There was at least one kid.	strong	real	unembedded	positive	most	neutral
Most teachers hit the ball.	There was at least one teacher.	strong	real	unembedded	positive	most	neutral
Most kids hit the ball.	There was at least one kid.	strong	real	unembedded	positive	most	neutral
Most assistants hurt others.	There was at least one assistant.	strong	real	unembedded	positive	most	neutral
Most athletes read the letter.	There was at least one athlete.	strong	real	unembedded	positive	most	neutral
Most kids put on a jacket.	There was at least one kid.	strong	real	unembedded	positive	most	neutral
Most kids hit the gong.	There was at least one kid.	strong	real	unembedded	positive	most	neutral
Most directors put the book on the shelf.	There was at least one director.	strong	real	unembedded	positive	most	neutral
Most actors shut the door.	There was at least one actor.	strong	real	unembedded	positive	most	neutral
Most engineers put on a jacket.	There was at least one engineer.	strong	real	unembedded	positive	most	neutral
Most girls cut the ribbon.	There was at least one girl.	strong	real	unembedded	positive	most	neutral
Most engineers read the letter.	There was at least one engineer.	strong	real	unembedded	positive	most	neutral
Most boys burst into the room.	There was at least one boy.	strong	real	unembedded	positive	most	neutral
Most students spread the rumor.	There was at least one student.	strong	real	unembedded	positive	most	neutral
Most teachers burst into the room.	There was at least one teacher.	strong	real	unembedded	positive	most	neutral
Most students let the dog in.	There was at least one student.	strong	real	unembedded	positive	most	neutral
Most engineers thrust the fork into the cake.	There was at least one engineer.	strong	real	unembedded	positive	most	neutral
Most doctors broadcast the message.	There was at least one doctor.	strong	real	unembedded	positive	most	neutral
Most doctors thrust the fork into the cake.	There was at least one doctor.	strong	real	unembedded	positive	most	neutral
Most assistants hit the lights.	There was at least one assistant.	strong	real	unembedded	positive	most	neutral
Most actors set the table.	There was at least one actor.	strong	real	unembedded	positive	most	neutral
Most teachers slit the envelope.	There was at least one teacher.	strong	real	unembedded	positive	most	neutral
The managers set the table.	There was at least one manager.	strong	real	unembedded	positive	the	neutral
The girls cast bronze into a statue.	There was at least one girl.	strong	real	unembedded	positive	the	neutral
The girls hit the lights.	There was at least one girl.	strong	real	unembedded	positive	the	neutral
The professors hit the gong.	There was at least one professor.	strong	real	unembedded	positive	the	neutral
The actors let the dog in.	There was at least one actor.	strong	real	unembedded	positive	the	neutral
The professors hit the ball.	There was at least one professor.	strong	real	unembedded	positive	the	neutral
The girls hit the gong.	There was at least one girl.	strong	real	unembedded	positive	the	neutral
The professors set the table.	There was at least one professor.	strong	real	unembedded	positive	the	neutral
The kids read the letter.	There was at least one kid.	strong	real	unembedded	positive	the	neutral
The professors shut the door.	There was at least one professor.	strong	real	unembedded	positive	the	neutral
The girls hit the ball.	There was at least one girl.	strong	real	unembedded	positive	the	neutral
The engineers burst into the room.	There was at least one engineer.	strong	real	unembedded	positive	the	neutral
The teachers hit the ball.	There was at least one teacher.	strong	real	unembedded	positive	the	neutral
The assistants cut the ribbon.	There was at least one assistant.	strong	real	unembedded	positive	the	neutral
The athletes cut the ribbon.	There was at least one athlete.	strong	real	unembedded	positive	the	neutral
The boys cast bronze into a statue.	There was at least one boy.	strong	real	unembedded	positive	the	neutral
The singers cast bronze into a statue.	There was at least one singer.	strong	real	unembedded	positive	the	neutral
The directors hit the gong.	There was at least one director.	strong	real	unembedded	positive	the	neutral
The athletes set the table.	There was at least one athlete.	strong	real	unembedded	positive	the	neutral
The kids hit the lights.	There was at least one kid.	strong	real	unembedded	positive	the	neutral
The professors cut the ribbon.	There was at least one professor.	strong	real	unembedded	positive	the	neutral
The actors slit the envelope.	There was at least one actor.	strong	real	unembedded	positive	the	neutral
The students cast bronze into a statue.	There was at least one student.	strong	real	unembedded	positive	the	neutral
The students slit the envelope.	There was at least one student.	strong	real	unembedded	positive	the	neutral
The singers read the letter.	There was at least one singer.	strong	real	unembedded	positive	the	neutral
The actors set the table.	There was at least one actor.	strong	real	unembedded	positive	the	neutral
The professors slit the envelope.	There was at least one professor.	strong	real	unembedded	positive	the	neutral
The kids broadcast the message.	There was at least one kid.	strong	real	unembedded	positive	the	neutral
The boys put on a jacket.	There was at least one boy.	strong	real	unembedded	positive	the	neutral
The doctors shut the door.	There was at least one doctor.	strong	real	unembedded	positive	the	neutral
The kids read the letter.	There was at least one kid.	strong	real	unembedded	positive	the	neutral
The workers cut the ribbon.	There was at least one worker.	strong	real	unembedded	positive	the	neutral
The workers hit the ball.	There was at least one worker.	strong	real	unembedded	positive	the	neutral
The athletes upset the boat.	There was at least one athlete.	strong	real	unembedded	positive	the	neutral
The teachers upset the boat.	There was at least one teacher.	strong	real	unembedded	positive	the	neutral
The workers read the letter.	There was at least one worker.	strong	real	unembedded	positive	the	neutral
The actors cast bronze into a statue.	There was at least one actor.	strong	real	unembedded	positive	the	neutral
The boys broadcast the message.	There was at least one boy.	strong	real	unembedded	positive	the	neutral
The managers broadcast the message.	There was at least one manager.	strong	real	unembedded	positive	the	neutral
The boys burst into the room.	There was at least one boy.	strong	real	unembedded	positive	the	neutral
The singers set the table.	There was at least one singer.	strong	real	unembedded	positive	the	neutral
The boys hurt others.	There was at least one boy.	strong	real	unembedded	positive	the	neutral
The doctors hurt others.	There was at least one doctor.	strong	real	unembedded	positive	the	neutral
The students read the letter.	There was at least one student.	strong	real	unembedded	positive	the	neutral
The professors cut the ribbon.	There was at least one professor.	strong	real	unembedded	positive	the	neutral
The singers slit the envelope.	There was at least one singer.	strong	real	unembedded	positive	the	neutral
The kids set the table.	There was at least one kid.	strong	real	unembedded	positive	the	neutral
The students read the letter.	There was at least one student.	strong	real	unembedded	positive	the	neutral
The doctors read the letter.	There was at least one doctor.	strong	real	unembedded	positive	the	neutral
The workers thrust the fork into the cake.	There was at least one worker.	strong	real	unembedded	positive	the	neutral
The managers spread the rumor.	There was at least one manager.	strong	real	unembedded	positive	the	neutral
The actors put the book on the shelf.	There was at least one actor.	strong	real	unembedded	positive	the	neutral
The singers spread the rumor.	There was at least one singer.	strong	real	unembedded	positive	the	neutral
The actors hit the gong.	There was at least one actor.	strong	real	unembedded	positive	the	neutral
The singers cast bronze into a statue.	There was at least one singer.	strong	real	unembedded	positive	the	neutral
The doctors read the letter.	There was at least one doctor.	strong	real	unembedded	positive	the	neutral
The athletes read the letter.	There was at least one athlete.	strong	real	unembedded	positive	the	neutral
The directors hurt others.	There was at least one director.	strong	real	unembedded	positive	the	neutral
The students hit the gong.	There was at least one student.	strong	real	unembedded	positive	the	neutral
The assistants shut the door.	There was at least one assistant.	strong	real	unembedded	positive	the	neutral
The singers hit the gong.	There was at least one singer.	strong	real	unembedded	positive	the	neutral
The students hit the gong.	There was at least one student.	strong	real	unembedded	positive	the	neutral
The professors let the dog in.	There was at least one professor.	strong	real	unembedded	positive	the	neutral
The doctors upset the boat.	There was at least one doctor.	strong	real	unembedded	positive	the	neutral
The students put on a jacket.	There was at least one student.	strong	real	unembedded	positive	the	neutral
The engineers cast bronze into a statue.	There was at least one engineer.	strong	real	unembedded	positive	the	neutral
The directors cut the ribbon.	There was at least one director.	strong	real	unembedded	positive	the	neutral
The teachers cut the ribbon.	There was at least one teacher.	strong	real	unembedded	positive	the	neutral
The singers put the book on the shelf.	There was at least one singer.	strong	real	unembedded	positive	the	neutral
The girls put the book on the shelf.	There was at least one girl.	strong	real	unembedded	positive	the	neutral
The students cut the ribbon.	There was at least one student.	strong	real	unembedded	positive	the	neutral
The engineers spread the rumor.	There was at least one engineer.	strong	real	unembedded	positive	the	neutral
The assistants cut the ribbon.	There was at least one assistant.	strong	real	unembedded	positive	the	neutral
The managers hit the gong.	There was at least one manager.	strong	real	unembedded	positive	the	neutral
The doctors spread the rumor.	There was at least one doctor.	strong	real	unembedded	positive	the	neutral
The students hit the lights.	There was at least one student.	strong	real	unembedded	positive	the	neutral
The kids cut the ribbon.	There was at least one kid.	strong	real	unembedded	positive	the	neutral
The singers hit the ball.	There was at least one singer.	strong	real	unembedded	positive	the	neutral
The kids cut the ribbon.	There was at least one kid.	strong	real	unembedded	positive	the	neutral
The managers set the table.	There was at least one manager.	strong	real	unembedded	positive	the	neutral
The directors cut the ribbon.	There was at least one director.	strong	real	unembedded	positive	the	neutral
The students read the letter.	There was at least one student.	strong	real	unembedded	positive	the	neutral
The assistants read the letter.	There was at least one assistant.	strong	real	unembedded	positive	the	neutral
The athletes hit the ball.	There was at least one athlete.	strong	real	unembedded	positive	the	neutral
The teachers cast bronze into a statue.	There was at least one teacher.	strong	real	unembedded	positive	the	neutral
The doctors put on a jacket.	There was at least one doctor.	strong	real	unembedded	positive	the	neutral
The singers upset the boat.	There was at least one singer.	strong	real	unembedded	positive	the	neutral
The directors shut the door.	There was at least one director.	strong	real	unembedded	positive	the	neutral
The professors put the book on the shelf.	There was at least one professor.	strong	real	unembedded	positive	the	neutral
The doctors hit the lights.	There was at least one doctor.	strong	real	unembedded	positive	the	neutral
The girls shut the door.	There was at least one girl.	strong	real	unembedded	positive	the	neutral
The boys hit the lights.	There was at least one boy.	strong	real	unembedded	positive	the	neutral
The managers let the dog in.	There was at least one manager.	strong	real	unembedded	positive	the	neutral
The teachers burst into the room.	There was at least one teacher.	strong	real	unembedded	positive	the	neutral
The assistants slit the envelope.	There was at least one assistant.	strong	real	unembedded	positive	the	neutral
The assistants cut the ribbon.	There was at least one assistant.	strong	real	unembedded	positive	the	neutral
The workers burst into the room.	There was at least one worker.	strong	real	unembedded	positive	the	neutral
The teachers hit the lights.	There was at least one teacher.	strong	real	unembedded	positive	the	neutral
The actors broadcast the message.	There was at least one actor.	strong	real	unembedded	positive	the	neutral
The assistants slit the envelope.	There was at least one assistant.	strong	real	unembedded	positive	the	neutral
Both athletes hit the lights.	There was at least one athlete.	strong	real	unembedded	positive	both	neutral
Both girls slit the envelope.	There was at least one girl.	strong	real	unembedded	positive	both	neutral
Both workers cast bronze into a statue.	There was at least one worker.	strong	real	unembedded	positive	both	neutral
Both boys broadcast the message.	There was at least one boy.	strong	real	unembedded	positive	both	neutral
Both students let the dog in.	There was at least one student.	strong	real	unembedded	positive	both	neutral
Both athletes put the book on the shelf.	There was at least one athlete.	strong	real	unembedded	positive	both	neutral
Both workers hit the ball.	There was at least one worker.	strong	real	unembedded	positive	both	neutral
Both teachers put on a jacket.	There was at least one teacher.	strong	real	unembedded	positive	both	neutral
Both engineers broadcast the message.	There was at least one engineer.	strong	real	unembedded	positive	both	neutral
Both engineers put on a jacket.	There was at least one engineer.	strong	real	unembedded	positive	both	neutral
Both actors spread the rumor.	There was at least one actor.	strong	real	unembedded	positive	both	neutral
Both singers burst into the room.	There was at least one singer.	strong	real	unembedded	positive	both	neutral
Both engineers thrust the fork into the cake.	There was at least one engineer.	strong	real	unembedded	positive	both	neutral
Both students spread the rumor.	There was at least one student.	strong	real	unembedded	positive	both	neutral
Both actors burst into the room.	There was at least one actor.	strong	real	unembedded	positive	both	neutral
Both engineers cast bronze into a statue.	There was at least one engineer.	strong	real	unembedded	positive	both	neutral
Both managers hit the gong.	There was at least one manager.	strong	real	unembedded	positive	both	neutral
Both doctors cut the ribbon.	There was at least one doctor.	strong	real	unembedded	positive	both	neutral
Both students broadcast the message.	There was at least one student.	strong	real	unembedded	positive	both	neutral
Both kids slit the envelope.	There was at least one kid.	strong	real	unembedded	positive	both	neutral
Both doctors cast bronze into a statue.	There was at least one doctor.	strong	real	unembedded	positive	both	neutral
Both engineers let the dog in.	There was at least one engineer.	strong	real	unembedded	positive	both	neutral
Both actors thrust the fork into the cake.	There was at least one actor.	strong	real	unembedded	positive	both	neutral
Both professors read the letter.	There was at least one professor.	strong	real	unembedded	positive	both	neutral
Both engineers shut the door.	There was at least one engineer.	strong	real	unembedded	positive	both	neutral
Both singers cast bronze into a statue.	There was at least one singer.	strong	real	unembedded	positive	both	neutral
Both doctors set the table.	There was at least one doctor.	strong	real	unembedded	positive	both	neutral
Both actors slit the envelope.	There was at least one actor.	strong	real	unembedded	positive	both	neutral
Both teachers hit the gong.	There was at least one teacher.	strong	real	unembedded	positive	both	neutral
Both actors hit the ball.	There was at least one actor.	strong	real	unembedded	positive	both	neutral
Both students shut the door.	There was at least one student.	strong	real	unembedded	positive	both	neutral
Both doctors read the letter.	There was at least one doctor.	strong	real	unembedded	positive	both	neutral
Both doctors hit the lights.	There was at least one doctor.	strong	real	unembedded	positive	both	neutral
Both doctors put the book on the shelf.	There was at least one doctor.	strong	real	unembedded	positive	both	neutral
Both kids hit the gong.	There was at least one kid.	strong	real	unembedded	positive	both	neutral
Both doctors broadcast the message.	There was at least one doctor.	strong	real	unembedded	positive	both	neutral
Both assistants shut the door.	There was at least one assistant.	strong	real	unembedded	positive	both	neutral
Both actors broadcast the message.	There was at least one actor.	strong	real	unembedded	positive	both	neutral
Both teachers hit the lights.	There was at least one teacher.	strong	real	unembedded	positive	both	neutral
Both boys burst into the room.	There was at least one boy.	strong	real	unembedded	positive	both	neutral
Both girls slit the envelope.	There was at least one girl.	strong	real	unembedded	positive	both	neutral
Both engineers broadcast the message.	There was at least one engineer.	strong	real	unembedded	positive	both	neutral
Both athletes hurt others.	There was at least one athlete.	strong	real	unembedded	positive	both	neutral
Both girls let the dog in.	There was at least one girl.	strong	real	unembedded	positive	both	neutral
Both athletes burst into the room.	There was at least one athlete.	strong	real	unembedded	positive	both	neutral
Both directors hit the gong.	There was at least one director.	strong	real	unembedded	positive	both	neutral
Both teachers read the letter.	There was at least one teacher.	strong	real	unembedded	positive	both	neutral
