premise	hypothesis	determiner_type	noun_category	environment	hypothesis_polarity	determiner	context	context_label
Every mermaid put on a jacket.	There was at least one mermaid.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, dragons once roamed the lands freely. Every dragon hit the lights.	There was at least one dragon.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, dragons were never real. Every dragon hit the lights.	There was at least one dragon.	strong	unreal	unembedded	positive	every	neutral	anti
Every dragon hit the lights.	There was at least one dragon.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, griffins once roamed the lands freely. Every griffin hit the ball.	There was at least one griffin.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, griffins were never real. Every griffin hit the ball.	There was at least one griffin.	strong	unreal	unembedded	positive	every	neutral	anti
Every griffin hit the ball.	There was at least one griffin.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, goblins once roamed the lands freely. Every goblin cast bronze into a statue.	There was at least one goblin.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, goblins were never real. Every goblin cast bronze into a statue.	There was at least one goblin.	strong	unreal	unembedded	positive	every	neutral	anti
Every goblin cast bronze into a statue.	There was at least one goblin.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, centaurs once roamed the lands freely. Every centaur slit the envelope.	There was at least one centaur.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, centaurs were never real. Every centaur slit the envelope.	There was at least one centaur.	strong	unreal	unembedded	positive	every	neutral	anti
Every centaur slit the envelope.	There was at least one centaur.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, mermaids once roamed the lands freely. Every mermaid let the dog in.	There was at least one mermaid.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, mermaids were never real. Every mermaid let the dog in.	There was at least one mermaid.	strong	unreal	unembedded	positive	every	neutral	anti
Every mermaid let the dog in.	There was at least one mermaid.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, centaurs once roamed the lands freely. Every centaur put the book on the shelf.	There was at least one centaur.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, centaurs were never real. Every centaur put the book on the shelf.	There was at least one centaur.	strong	unreal	unembedded	positive	every	neutral	anti
Every centaur put the book on the shelf.	There was at least one centaur.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, goblins once roamed the lands freely. Every goblin hit the ball.	There was at least one goblin.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, goblins were never real. Every goblin hit the ball.	There was at least one goblin.	strong	unreal	unembedded	positive	every	neutral	anti
Every goblin hit the ball.	There was at least one goblin.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, goblins once roamed the lands freely. Every goblin cut the ribbon.	There was at least one goblin.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, goblins were never real. Every goblin cut the ribbon.	There was at least one goblin.	strong	unreal	unembedded	positive	every	neutral	anti
Every goblin cut the ribbon.	There was at least one goblin.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, vampires once roamed the lands freely. Every vampire put on a jacket.	There was at least one vampire.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, vampires were never real. Every vampire put on a jacket.	There was at least one vampire.	strong	unreal	unembedded	positive	every	neutral	anti
Every vampire put on a jacket.	There was at least one vampire.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, dragons once roamed the lands freely. Every dragon set the table.	There was at least one dragon.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, dragons were never real. Every dragon set the table.	There was at least one dragon.	strong	unreal	unembedded	positive	every	neutral	anti
Every dragon set the table.	There was at least one dragon.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, krakens once roamed the lands freely. Every kraken slit the envelope.	There was at least one kraken.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, krakens were never real. Every kraken slit the envelope.	There was at least one kraken.	strong	unreal	unembedded	positive	every	neutral	anti
Every kraken slit the envelope.	There was at least one kraken.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, trolls once roamed the lands freely. Every troll cast bronze into a statue.	There was at least one troll.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, trolls were never real. Every troll cast bronze into a statue.	There was at least one troll.	strong	unreal	unembedded	positive	every	neutral	anti
Every troll cast bronze into a statue.	There was at least one troll.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, krakens once roamed the lands freely. Every kraken hurt others.	There was at least one kraken.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, krakens were never real. Every kraken hurt others.	There was at least one kraken.	strong	unreal	unembedded	positive	every	neutral	anti
Every kraken hurt others.	There was at least one kraken.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, centaurs once roamed the lands freely. Every centaur upset the boat.	There was at least one centaur.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, centaurs were never real. Every centaur upset the boat.	There was at least one centaur.	strong	unreal	unembedded	positive	every	neutral	anti
Every centaur upset the boat.	There was at least one centaur.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, trolls once roamed the lands freely. Every troll broadcast the message.	There was at least one troll.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, trolls were never real. Every troll broadcast the message.	There was at least one troll.	strong	unreal	unembedded	positive	every	neutral	anti
Every troll broadcast the message.	There was at least one troll.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, vampires once roamed the lands freely. Every vampire hit the gong.	There was at least one vampire.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, vampires were never real. Every vampire hit the gong.	There was at least one vampire.	strong	unreal	unembedded	positive	every	neutral	anti
Every vampire hit the gong.	There was at least one vampire.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, goblins once roamed the lands freely. Every goblin slit the envelope.	There was at least one goblin.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, goblins were never real. Every goblin slit the envelope.	There was at least one goblin.	strong	unreal	unembedded	positive	every	neutral	anti
Every goblin slit the envelope.	There was at least one goblin.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, centaurs once roamed the lands freely. Every centaur slit the envelope.	There was at least one centaur.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, centaurs were never real. Every centaur slit the envelope.	There was at least one centaur.	strong	unreal	unembedded	positive	every	neutral	anti
Every centaur slit the envelope.	There was at least one centaur.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, krakens once roamed the lands freely. Every kraken hit the ball.	There was at least one kraken.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, krakens were never real. Every kraken hit the ball.	There was at least one kraken.	strong	unreal	unembedded	positive	every	neutral	anti
Every kraken hit the ball.	There was at least one kraken.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, krakens once roamed the lands freely. Every kraken upset the boat.	There was at least one kraken.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, krakens were never real. Every kraken upset the boat.	There was at least one kraken.	strong	unreal	unembedded	positive	every	neutral	anti
Every kraken upset the boat.	There was at least one kraken.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, dragons once roamed the lands freely. Every dragon hit the lights.	There was at least one dragon.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, dragons were never real. Every dragon hit the lights.	There was at least one dragon.	strong	unreal	unembedded	positive	every	neutral	anti
Every dragon hit the lights.	There was at least one dragon.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, vampires once roamed the lands freely. Every vampire shut the door.	There was at least one vampire.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, vampires were never real. Every vampire shut the door.	There was at least one vampire.	strong	unreal	unembedded	positive	every	neutral	anti
Every vampire shut the door.	There was at least one vampire.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, mermaids once roamed the lands freely. Every mermaid burst into the room.	There was at least one mermaid.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, mermaids were never real. Every mermaid burst into the room.	There was at least one mermaid.	strong	unreal	unembedded	positive	every	neutral	anti
Every mermaid burst into the room.	There was at least one mermaid.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, zombies once roamed the lands freely. Every zombie let the dog in.	There was at least one zombie.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, zombies were never real. Every zombie let the dog in.	There was at least one zombie.	strong	unreal	unembedded	positive	every	neutral	anti
Every zombie let the dog in.	There was at least one zombie.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, centaurs once roamed the lands freely. Every centaur hurt others.	There was at least one centaur.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, centaurs were never real. Every centaur hurt others.	There was at least one centaur.	strong	unreal	unembedded	positive	every	neutral	anti
Every centaur hurt others.	There was at least one centaur.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, dragons once roamed the lands freely. Every dragon slit the envelope.	There was at least one dragon.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, dragons were never real. Every dragon slit the envelope.	There was at least one dragon.	strong	unreal	unembedded	positive	every	neutral	anti
Every dragon slit the envelope.	There was at least one dragon.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, dragons once roamed the lands freely. Every dragon hit the gong.	There was at least one dragon.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, dragons were never real. Every dragon hit the gong.	There was at least one dragon.	strong	unreal	unembedded	positive	every	neutral	anti
Every dragon hit the gong.	There was at least one dragon.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, vampires once roamed the lands freely. Every vampire cut the ribbon.	There was at least one vampire.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, vampires were never real. Every vampire cut the ribbon.	There was at least one vampire.	strong	unreal	unembedded	positive	every	neutral	anti
Every vampire cut the ribbon.	There was at least one vampire.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, goblins once roamed the lands freely. Every goblin hit the ball.	There was at least one goblin.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, goblins were never real. Every goblin hit the ball.	There was at least one goblin.	strong	unreal	unembedded	positive	every	neutral	anti
Every goblin hit the ball.	There was at least one goblin.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, griffins once roamed the lands freely. Every griffin put on a jacket.	There was at least one griffin.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, griffins were never real. Every griffin put on a jacket.	There was at least one griffin.	strong	unreal	unembedded	positive	every	neutral	anti
Every griffin put on a jacket.	There was at least one griffin.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, vampires once roamed the lands freely. Every vampire hit the lights.	There was at least one vampire.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, vampires were never real. Every vampire hit the lights.	There was at least one vampire.	strong	unreal	unembedded	positive	every	neutral	anti
Every vampire hit the lights.	There was at least one vampire.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, krakens once roamed the lands freely. Every kraken hurt others.	There was at least one kraken.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, krakens were never real. Every kraken hurt others.	There was at least one kraken.	strong	unreal	unembedded	positive	every	neutral	anti
Every kraken hurt others.	There was at least one kraken.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, goblins once roamed the lands freely. Every goblin hurt others.	There was at least one goblin.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, goblins were never real. Every goblin hurt others.	There was at least one goblin.	strong	unreal	unembedded	positive	every	neutral	anti
Every goblin hurt others.	There was at least one goblin.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, unicorns once roamed the lands freely. Every unicorn hurt others.	There was at least one unicorn.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, unicorns were never real. Every unicorn hurt others.	There was at least one unicorn.	strong	unreal	unembedded	positive	every	neutral	anti
Every unicorn hurt others.	There was at least one unicorn.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, goblins once roamed the lands freely. Every goblin let the dog in.	There was at least one goblin.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, goblins were never real. Every goblin let the dog in.	There was at least one goblin.	strong	unreal	unembedded	positive	every	neutral	anti
Every goblin let the dog in.	There was at least one goblin.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, goblins once roamed the lands freely. Every goblin broadcast the message.	There was at least one goblin.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, goblins were never real. Every goblin broadcast the message.	There was at least one goblin.	strong	unreal	unembedded	positive	every	neutral	anti
Every goblin broadcast the message.	There was at least one goblin.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, goblins once roamed the lands freely. Every goblin set the table.	There was at least one goblin.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, goblins were never real. Every goblin set the table.	There was at least one goblin.	strong	unreal	unembedded	positive	every	neutral	anti
Every goblin set the table.	There was at least one goblin.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, dragons once roamed the lands freely. Every dragon upset the boat.	There was at least one dragon.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, dragons were never real. Every dragon upset the boat.	There was at least one dragon.	strong	unreal	unembedded	positive	every	neutral	anti
Every dragon upset the boat.	There was at least one dragon.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, griffins once roamed the lands freely. Every griffin read the letter.	There was at least one griffin.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, griffins were never real. Every griffin read the letter.	There was at least one griffin.	strong	unreal	unembedded	positive	every	neutral	anti
Every griffin read the letter.	There was at least one griffin.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, unicorns once roamed the lands freely. Every unicorn shut the door.	There was at least one unicorn.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, unicorns were never real. Every unicorn shut the door.	There was at least one unicorn.	strong	unreal	unembedded	positive	every	neutral	anti
Every unicorn shut the door.	There was at least one unicorn.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, mermaids once roamed the lands freely. Every mermaid hit the gong.	There was at least one mermaid.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, mermaids were never real. Every mermaid hit the gong.	There was at least one mermaid.	strong	unreal	unembedded	positive	every	neutral	anti
Every mermaid hit the gong.	There was at least one mermaid.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, mermaids once roamed the lands freely. Every mermaid broadcast the message.	There was at least one mermaid.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, mermaids were never real. Every mermaid broadcast the message.	There was at least one mermaid.	strong	unreal	unembedded	positive	every	neutral	anti
Every mermaid broadcast the message.	There was at least one mermaid.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, unicorns once roamed the lands freely. Every unicorn cut the ribbon.	There was at least one unicorn.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, unicorns were never real. Every unicorn cut the ribbon.	There was at least one unicorn.	strong	unreal	unembedded	positive	every	neutral	anti
Every unicorn cut the ribbon.	There was at least one unicorn.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, zombies once roamed the lands freely. Every zombie hit the gong.	There was at least one zombie.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, zombies were never real. Every zombie hit the gong.	There was at least one zombie.	strong	unreal	unembedded	positive	every	neutral	anti
Every zombie hit the gong.	There was at least one zombie.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, krakens once roamed the lands freely. Every kraken hit the lights.	There was at least one kraken.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, krakens were never real. Every kraken hit the lights.	There was at least one kraken.	strong	unreal	unembedded	positive	every	neutral	anti
Every kraken hit the lights.	There was at least one kraken.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, griffins once roamed the lands freely. Every griffin upset the boat.	There was at least one griffin.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, griffins were never real. Every griffin upset the boat.	There was at least one griffin.	strong	unreal	unembedded	positive	every	neutral	anti
Every griffin upset the boat.	There was at least one griffin.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, dragons once roamed the lands freely. Every dragon set the table.	There was at least one dragon.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, dragons were never real. Every dragon set the table.	There was at least one dragon.	strong	unreal	unembedded	positive	every	neutral	anti
Every dragon set the table.	There was at least one dragon.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, zombies once roamed the lands freely. Every zombie thrust the fork into the cake.	There was at least one zombie.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, zombies were never real. Every zombie thrust the fork into the cake.	There was at least one zombie.	strong	unreal	unembedded	positive	every	neutral	anti
Every zombie thrust the fork into the cake.	There was at least one zombie.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, goblins once roamed the lands freely. Every goblin set the table.	There was at least one goblin.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, goblins were never real. Every goblin set the table.	There was at least one goblin.	strong	unreal	unembedded	positive	every	neutral	anti
Every goblin set the table.	There was at least one goblin.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, zombies once roamed the lands freely. Every zombie hit the gong.	There was at least one zombie.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, zombies were never real. Every zombie hit the gong.	There was at least one zombie.	strong	unreal	unembedded	positive	every	neutral	anti
Every zombie hit the gong.	There was at least one zombie.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, zombies once roamed the lands freely. Every zombie read the letter.	There was at least one zombie.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, zombies were never real. Every zombie read the letter.	There was at least one zombie.	strong	unreal	unembedded	positive	every	neutral	anti
Every zombie read the letter.	There was at least one zombie.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, goblins once roamed the lands freely. Every goblin cast bronze into a statue.	There was at least one goblin.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, goblins were never real. Every goblin cast bronze into a statue.	There was at least one goblin.	strong	unreal	unembedded	positive	every	neutral	anti
Every goblin cast bronze into a statue.	There was at least one goblin.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, vampires once roamed the lands freely. Every vampire hit the ball.	There was at least one vampire.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, vampires were never real. Every vampire hit the ball.	There was at least one vampire.	strong	unreal	unembedded	positive	every	neutral	anti
Every vampire hit the ball.	There was at least one vampire.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, mermaids once roamed the lands freely. Every mermaid cut the ribbon.	There was at least one mermaid.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, mermaids were never real. Every mermaid cut the ribbon.	There was at least one mermaid.	strong	unreal	unembedded	positive	every	neutral	anti
Every mermaid cut the ribbon.	There was at least one mermaid.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, mermaids once roamed the lands freely. Every mermaid broadcast the message.	There was at least one mermaid.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, mermaids were never real. Every mermaid broadcast the message.	There was at least one mermaid.	strong	unreal	unembedded	positive	every	neutral	anti
Every mermaid broadcast the message.	There was at least one mermaid.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, dragons once roamed the lands freely. Every dragon cast bronze into a statue.	There was at least one dragon.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, dragons were never real. Every dragon cast bronze into a statue.	There was at least one dragon.	strong	unreal	unembedded	positive	every	neutral	anti
Every dragon cast bronze into a statue.	There was at least one dragon.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, unicorns once roamed the lands freely. Every unicorn hit the lights.	There was at least one unicorn.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, unicorns were never real. Every unicorn hit the lights.	There was at least one unicorn.	strong	unreal	unembedded	positive	every	neutral	anti
Every unicorn hit the lights.	There was at least one unicorn.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, trolls once roamed the lands freely. Every troll cut the ribbon.	There was at least one troll.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, trolls were never real. Every troll cut the ribbon.	There was at least one troll.	strong	unreal	unembedded	positive	every	neutral	anti
Every troll cut the ribbon.	There was at least one troll.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, krakens once roamed the lands freely. Every kraken hit the lights.	There was at least one kraken.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, krakens were never real. Every kraken hit the lights.	There was at least one kraken.	strong	unreal	unembedded	positive	every	neutral	anti
Every kraken hit the lights.	There was at least one kraken.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, mermaids once roamed the lands freely. Every mermaid set the table.	There was at least one mermaid.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, mermaids were never real. Every mermaid set the table.	There was at least one mermaid.	strong	unreal	unembedded	positive	every	neutral	anti
Every mermaid set the table.	There was at least one mermaid.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, unicorns once roamed the lands freely. Every unicorn read the letter.	There was at least one unicorn.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, unicorns were never real. Every unicorn read the letter.	There was at least one unicorn.	strong	unreal	unembedded	positive	every	neutral	anti
Every unicorn read the letter.	There was at least one unicorn.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, centaurs once roamed the lands freely. Every centaur hurt others.	There was at least one centaur.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, centaurs were never real. Every centaur hurt others.	There was at least one centaur.	strong	unreal	unembedded	positive	every	neutral	anti
Every centaur hurt others.	There was at least one centaur.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, vampires once roamed the lands freely. Every vampire put the book on the shelf.	There was at least one vampire.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, vampires were never real. Every vampire put the book on the shelf.	There was at least one vampire.	strong	unreal	unembedded	positive	every	neutral	anti
Every vampire put the book on the shelf.	There was at least one vampire.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, vampires once roamed the lands freely. Every vampire read the letter.	There was at least one vampire.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, vampires were never real. Every vampire read the letter.	There was at least one vampire.	strong	unreal	unembedded	positive	every	neutral	anti
Every vampire read the letter.	There was at least one vampire.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, griffins once roamed the lands freely. Every griffin spread the rumor.	There was at least one griffin.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, griffins were never real. Every griffin spread the rumor.	There was at least one griffin.	strong	unreal	unembedded	positive	every	neutral	anti
Every griffin spread the rumor.	There was at least one griffin.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, krakens once roamed the lands freely. Every kraken thrust the fork into the cake.	There was at least one kraken.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, krakens were never real. Every kraken thrust the fork into the cake.	There was at least one kraken.	strong	unreal	unembedded	positive	every	neutral	anti
Every kraken thrust the fork into the cake.	There was at least one kraken.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, unicorns once roamed the lands freely. Every unicorn spread the rumor.	There was at least one unicorn.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, unicorns were never real. Every unicorn spread the rumor.	There was at least one unicorn.	strong	unreal	unembedded	positive	every	neutral	anti
Every unicorn spread the rumor.	There was at least one unicorn.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, centaurs once roamed the lands freely. Every centaur broadcast the message.	There was at least one centaur.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, centaurs were never real. Every centaur broadcast the message.	There was at least one centaur.	strong	unreal	unembedded	positive	every	neutral	anti
Every centaur broadcast the message.	There was at least one centaur.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, zombies once roamed the lands freely. Every zombie shut the door.	There was at least one zombie.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, zombies were never real. Every zombie shut the door.	There was at least one zombie.	strong	unreal	unembedded	positive	every	neutral	anti
Every zombie shut the door.	There was at least one zombie.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, unicorns once roamed the lands freely. Every unicorn burst into the room.	There was at least one unicorn.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, unicorns were never real. Every unicorn burst into the room.	There was at least one unicorn.	strong	unreal	unembedded	positive	every	neutral	anti
Every unicorn burst into the room.	There was at least one unicorn.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, krakens once roamed the lands freely. Every kraken hit the lights.	There was at least one kraken.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, krakens were never real. Every kraken hit the lights.	There was at least one kraken.	strong	unreal	unembedded	positive	every	neutral	anti
Every kraken hit the lights.	There was at least one kraken.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, unicorns once roamed the lands freely. Every unicorn hit the lights.	There was at least one unicorn.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, unicorns were never real. Every unicorn hit the lights.	There was at least one unicorn.	strong	unreal	unembedded	positive	every	neutral	anti
