premise	hypothesis	label	noun_category	environment	hypothesis_polarity
The athletes thrust the fork into the cake.	The athletes thrust the fork into the cake.	entailment	real	unembedded	positive
The managers put on a jacket.	The managers put on a jacket.	entailment	real	unembedded	positive
The workers broadcast the message.	The workers broadcast the message.	entailment	real	unembedded	positive
The workers thrust the fork into the cake.	The workers thrust the fork into the cake.	entailment	real	unembedded	positive
The workers hit the lights.	The workers hit the lights.	entailment	real	unembedded	positive
The singers hurt others.	The singers hurt others.	entailment	real	unembedded	positive
The professors cast bronze into a statue.	The professors cast bronze into a statue.	entailment	real	unembedded	positive
The boys slit the envelope.	The boys slit the envelope.	entailment	real	unembedded	positive
The managers spread the rumor.	The managers spread the rumor.	entailment	real	unembedded	positive
The athletes hit the lights.	The athletes hit the lights.	entailment	real	unembedded	positive
The teachers broadcast the message.	The teachers broadcast the message.	entailment	real	unembedded	positive
The students cast bronze into a statue.	The students cast bronze into a statue.	entailment	real	unembedded	positive
The boys thrust the fork into the cake.	The boys thrust the fork into the cake.	entailment	real	unembedded	positive
The girls shut the door.	The girls shut the door.	entailment	real	unembedded	positive
The teachers broadcast the message.	The teachers broadcast the message.	entailment	real	unembedded	positive
The workers hurt others.	The workers hurt others.	entailment	real	unembedded	positive
The singers hurt others.	The singers hurt others.	entailment	real	unembedded	positive
The managers set the table.	The managers set the table.	entailment	real	unembedded	positive
The students spread the rumor.	The students spread the rumor.	entailment	real	unembedded	positive
The doctors slit the envelope.	The doctors slit the envelope.	entailment	real	unembedded	positive
The engineers cut the ribbon.	The engineers cut the ribbon.	entailment	real	unembedded	positive
The doctors read the letter.	The doctors read the letter.	entailment	real	unembedded	positive
The students cast bronze into a statue.	The students cast bronze into a statue.	entailment	real	unembedded	positive
The teachers cut the ribbon.	The teachers cut the ribbon.	entailment	real	unembedded	positive
The boys spread the rumor.	The boys spread the rumor.	entailment	real	unembedded	positive
The professors thrust the fork into the cake.	The professors thrust the fork into the cake.	entailment	real	unembedded	positive
The girls hit the lights.	The girls hit the lights.	entailment	real	unembedded	positive
The doctors hurt others.	The doctors hurt others.	entailment	real	unembedded	positive
The teachers hit the lights.	The teachers did not hit the lights.	contradiction	real	unembedded	negative
The workers broadcast the message.	The workers did not broadcast the message.	contradiction	real	unembedded	negative
The doctors burst into the room.	The doctors did not burst into the room.	contradiction	real	unembedded	negative
The engineers upset the boat.	The engineers did not upset the boat.	contradiction	real	unembedded	negative
The directors shut the door.	The directors did not shut the door.	contradiction	real	unembedded	negative
The engineers put the book on the shelf.	The engineers did not put the book on the shelf.	contradiction	real	unembedded	negative
The athletes put on a jacket.	The athletes did not put on a jacket.	contradiction	real	unembedded	negative
The assistants cut the ribbon.	The assistants did not cut the ribbon.	contradiction	real	unembedded	negative
The athletes cut the ribbon.	The athletes did not cut the ribbon.	contradiction	real	unembedded	negative
The actors upset the boat.	The actors did not upset the boat.	contradiction	real	unembedded	negative
The singers shut the door.	The singers did not shut the door.	contradiction	real	unembedded	negative
The directors read the letter.	The directors did not read the letter.	contradiction	real	unembedded	negative
The athletes broadcast the message.	The athletes did not broadcast the message.	contradiction	real	unembedded	negative
The managers upset the boat.	The managers did not upset the boat.	contradiction	real	unembedded	negative
The professors let the dog in.	The professors did not let the dog in.	contradiction	real	unembedded	negative
The kids burst into the room.	The kids did not burst into the room.	contradiction	real	unembedded	negative
The managers slit the envelope.	The managers did not slit the envelope.	contradiction	real	unembedded	negative
The professors broadcast the message.	The professors did not broadcast the message.	contradiction	real	unembedded	negative
The doctors hit the gong.	The doctors did not hit the gong.	contradiction	real	unembedded	negative
The singers put on a jacket.	The singers did not put on a jacket.	contradiction	real	unembedded	negative
The kids cast bronze into a statue.	The kids did not cast bronze into a statue.	contradiction	real	unembedded	negative
The engineers hurt others.	The engineers did not hurt others.	contradiction	real	unembedded	negative
The professors hit the gong.	The professors did not hit the gong.	contradiction	real	unembedded	negative
The girls hit the ball.	The girls did not hit the ball.	contradiction	real	unembedded	negative
The singers read the letter.	The singers did not read the letter.	contradiction	real	unembedded	negative
The assistants broadcast the message.	The assistants did not broadcast the message.	contradiction	real	unembedded	negative
The assistants cut the ribbon.	The assistants did not cut the ribbon.	contradiction	real	unembedded	negative
The actors set the table.	The actors did not set the table.	contradiction	real	unembedded	negative
The managers put on a jacket.	The managers did not put on a jacket.	contradiction	real	unembedded	negative
The engineers cut the ribbon.	The engineers did not cut the ribbon.	contradiction	real	unembedded	negative
The girls cut the ribbon.	The girls did not cut the ribbon.	contradiction	real	unembedded	negative
The workers hit the lights.	The workers did not hit the lights.	contradiction	real	unembedded	negative
The assistants thrust the fork into the cake.	The assistants did not thrust the fork into the cake.	contradiction	real	unembedded	negative
The students hit the gong.	The students did not hit the gong.	contradiction	real	unembedded	negative
The singers set the table.	The singers did not set the table.	contradiction	real	unembedded	negative
The doctors hit the ball.	The doctors did not hit the ball.	contradiction	real	unembedded	negative
The doctors cut the ribbon.	The doctors did not cut the ribbon.	contradiction	real	unembedded	negative
The directors let the dog in.	The directors did not let the dog in.	contradiction	real	unembedded	negative
The professors cast bronze into a statue.	The professors did not cast bronze into a statue.	contradiction	real	unembedded	negative
The managers let the dog in.	The managers did not let the dog in.	contradiction	real	unembedded	negative
The boys cast bronze into a statue.	The boys did not cast bronze into a statue.	contradiction	real	unembedded	negative
The doctors slit the envelope.	The doctors did not slit the envelope.	contradiction	real	unembedded	negative
The girls spread the rumor.	The girls did not spread the rumor.	contradiction	real	unembedded	negative
The engineers hit the gong.	The engineers did not hit the gong.	contradiction	real	unembedded	negative
The directors let the dog in.	The directors did not let the dog in.	contradiction	real	unembedded	negative
The doctors thrust the fork into the cake.	The doctors did not thrust the fork into the cake.	contradiction	real	unembedded	negative
The boys burst into the room.	The boys did not burst into the room.	contradiction	real	unembedded	negative
The directors read the letter.	The directors did not read the letter.	contradiction	real	unembedded	negative
The students put on a jacket.	The students did not put on a jacket.	contradiction	real	unembedded	negative
The actors broadcast the message.	The actors did not broadcast the message.	contradiction	real	unembedded	negative
The assistants put the book on the shelf.	The assistants did not put the book on the shelf.	contradiction	real	unembedded	negative
The athletes spread the rumor.	The athletes did not spread the rumor.	contradiction	real	unembedded	negative
The engineers cast bronze into a statue.	The engineers did not cast bronze into a statue.	contradiction	real	unembedded	negative
The assistants hit the ball.	The assistants did not hit the ball.	contradiction	real	unembedded	negative
The doctors hit the ball.	The doctors did not hit the ball.	contradiction	real	unembedded	negative
The teachers let the dog in.	The teachers did not let the dog in.	contradiction	real	unembedded	negative
The engineers set the table.	The engineers did not set the table.	contradiction	real	unembedded	negative
The professors cut the ribbon.	The professors did not cut the ribbon.	contradiction	real	unembedded	negative
The doctors upset the boat.	The doctors did not upset the boat.	contradiction	real	unembedded	negative
The managers broadcast the message.	The managers did not broadcast the message.	contradiction	real	unembedded	negative
The kids spread the rumor.	The kids did not spread the rumor.	contradiction	real	unembedded	negative
The girls burst into the room.	The girls did not burst into the room.	contradiction	real	unembedded	negative
The athletes thrust the fork into the cake.	The athletes did not thrust the fork into the cake.	contradiction	real	unembedded	negative
The managers hit the gong.	The managers did not hit the gong.	contradiction	real	unembedded	negative
The teachers hit the lights.	The teachers did not hit the lights.	contradiction	real	unembedded	negative
The doctors broadcast the message.	The doctors did not broadcast the message.	contradiction	real	unembedded	negative
The athletes let the dog in.	The athletes did not let the dog in.	contradiction	real	unembedded	negative
The doctors put on a jacket.	The doctors did not put on a jacket.	contradiction	real	unembedded	negative
The kids cast bronze into a statue.	The kids did not cast bronze into a statue.	contradiction	real	unembedded	negative
The engineers set the table.	The engineers did not set the table.	contradiction	real	unembedded	negative
The workers read the letter.	The workers did not read the letter.	contradiction	real	unembedded	negative
The doctors cast bronze into a statue.	The doctors did not cast bronze into a statue.	contradiction	real	unembedded	negative
The managers burst into the room.	The managers did not burst into the room.	contradiction	real	unembedded	negative
The actors put on a jacket.	The actors did not put on a jacket.	contradiction	real	unembedded	negative
The kids hit the gong.	The kids did not hit the gong.	contradiction	real	unembedded	negative
The directors thrust the fork into the cake.	The directors did not thrust the fork into the cake.	contradiction	real	unembedded	negative
The directors put on a jacket.	The directors did not put on a jacket.	contradiction	real	unembedded	negative
The managers shut the door.	The managers did not shut the door.	contradiction	real	unembedded	negative
The kids hit the ball.	The kids did not hit the ball.	contradiction	real	unembedded	negative
The teachers hit the ball.	The teachers did not hit the ball.	contradiction	real	unembedded	negative
The kids hit the ball.	The kids did not hit the ball.	contradiction	real	unembedded	negative
The assistants hurt others.	The assistants did not hurt others.	contradiction	real	unembedded	negative
The athletes read the letter.	The athletes did not read the letter.	contradiction	real	unembedded	negative
The kids put on a jacket.	The kids did not put on a jacket.	contradiction	real	unembedded	negative
The kids hit the gong.	The kids did not hit the gong.	contradiction	real	unembedded	negative
The directors put the book on the shelf.	The directors did not put the book on the shelf.	contradiction	real	unembedded	negative
The actors shut the door.	The actors did not shut the door.	contradiction	real	unembedded	negative
The engineers put on a jacket.	The engineers did not put on a jacket.	contradiction	real	unembedded	negative
The girls cut the ribbon.	The girls did not cut the ribbon.	contradiction	real	unembedded	negative
The engineers read the letter.	The engineers did not read the letter.	contradiction	real	unembedded	negative
The boys burst into the room.	The boys did not burst into the room.	contradiction	real	unembedded	negative
The students spread the rumor.	The students did not spread the rumor.	contradiction	real	unembedded	negative
The teachers burst into the room.	The teachers did not burst into the room.	contradiction	real	unembedded	negative
The students let the dog in.	The students did not let the dog in.	contradiction	real	unembedded	negative
The engineers thrust the fork into the cake.	The engineers did not thrust the fork into the cake.	contradiction	real	unembedded	negative
The doctors broadcast the message.	The doctors did not broadcast the message.	contradiction	real	unembedded	negative
The doctors thrust the fork into the cake.	The doctors did not thrust the fork into the cake.	contradiction	real	unembedded	negative
The assistants hit the lights.	The assistants did not hit the lights.	contradiction	real	unembedded	negative
The actors set the table.	The actors did not set the table.	contradiction	real	unembedded	negative
The teachers slit the envelope.	The teachers did not slit the envelope.	contradiction	real	unembedded	negative
The centaurs set the table.	The centaurs set the table.	entailment	unreal	unembedded	positive
The vampires cast bronze into a statue.	The vampires cast bronze into a statue.	entailment	unreal	unembedded	positive
The vampires hit the lights.	The vampires hit the lights.	entailment	unreal	unembedded	positive
The mermaids hit the gong.	The mermaids hit the gong.	entailment	unreal	unembedded	positive
The dragons let the dog in.	The dragons let the dog in.	entailment	unreal	unembedded	positive
The goblins thrust the fork into the cake.	The goblins thrust the fork into the cake.	entailment	unreal	unembedded	positive
The unicorns burst into the room.	The unicorns burst into the room.	entailment	unreal	unembedded	positive
The mermaids thrust the fork into the cake.	The mermaids thrust the fork into the cake.	entailment	unreal	unembedded	positive
The krakens put the book on the shelf.	The krakens put the book on the shelf.	entailment	unreal	unembedded	positive
The zombies thrust the fork into the cake.	The zombies thrust the fork into the cake.	entailment	unreal	unembedded	positive
The centaurs burst into the room.	The centaurs burst into the room.	entailment	unreal	unembedded	positive
The unicorns hit the lights.	The unicorns hit the lights.	entailment	unreal	unembedded	positive
The krakens burst into the room.	The krakens burst into the room.	entailment	unreal	unembedded	positive
The unicorns hit the ball.	The unicorns hit the ball.	entailment	unreal	unembedded	positive
The zombies cut the ribbon.	The zombies cut the ribbon.	entailment	unreal	unembedded	positive
The griffins cut the ribbon.	The griffins cut the ribbon.	entailment	unreal	unembedded	positive
The vampires cast bronze into a statue.	The vampires cast bronze into a statue.	entailment	unreal	unembedded	positive
The mermaids cast bronze into a statue.	The mermaids cast bronze into a statue.	entailment	unreal	unembedded	positive
The centaurs hit the gong.	The centaurs hit the gong.	entailment	unreal	unembedded	positive
The griffins set the table.	The griffins set the table.	entailment	unreal	unembedded	positive
The griffins hit the lights.	The griffins hit the lights.	entailment	unreal	unembedded	positive
The mermaids cut the ribbon.	The mermaids cut the ribbon.	entailment	unreal	unembedded	positive
The dragons slit the envelope.	The dragons slit the envelope.	entailment	unreal	unembedded	positive
The unicorns cast bronze into a statue.	The unicorns cast bronze into a statue.	entailment	unreal	unembedded	positive
The goblins hit the ball.	The goblins hit the ball.	entailment	unreal	unembedded	positive
The vampires hit the gong.	The vampires hit the gong.	entailment	unreal	unembedded	positive
The zombies cast bronze into a statue.	The zombies cast bronze into a statue.	entailment	unreal	unembedded	positive
The krakens thrust the fork into the cake.	The krakens thrust the fork into the cake.	entailment	unreal	unembedded	positive
The trolls slit the envelope.	The trolls slit the envelope.	entailment	unreal	unembedded	positive
The griffins broadcast the message.	The griffins broadcast the message.	entailment	unreal	unembedded	positive
The vampires put on a jacket.	The vampires put on a jacket.	entailment	unreal	unembedded	positive
The dragons shut the door.	The dragons shut the door.	entailment	unreal	unembedded	positive
The trolls broadcast the message.	The trolls broadcast the message.	entailment	unreal	unembedded	positive
The griffins read the letter.	The griffins read the letter.	entailment	unreal	unembedded	positive
The zombies cut the ribbon.	The zombies cut the ribbon.	entailment	unreal	unembedded	positive
The zombies hit the ball.	The zombies hit the ball.	entailment	unreal	unembedded	positive
The griffins upset the boat.	The griffins upset the boat.	entailment	unreal	unembedded	positive
The unicorns upset the boat.	The unicorns upset the boat.	entailment	unreal	unembedded	positive
The zombies read the letter.	The zombies read the letter.	entailment	unreal	unembedded	positive
The dragons cast bronze into a statue.	The dragons cast bronze into a statue.	entailment	unreal	unembedded	positive
The goblins slit the envelope.	The goblins slit the envelope.	entailment	unreal	unembedded	positive
The goblins let the dog in.	The goblins let the dog in.	entailment	unreal	unembedded	positive
The trolls broadcast the message.	The trolls broadcast the message.	entailment	unreal	unembedded	positive
The trolls broadcast the message.	The trolls broadcast the message.	entailment	unreal	unembedded	positive
The vampires burst into the room.	The vampires burst into the room.	entailment	unreal	unembedded	positive
The mermaids set the table.	The mermaids set the table.	entailment	unreal	unembedded	positive
The vampires hurt others.	The vampires hurt others.	entailment	unreal	unembedded	positive
The goblins hurt others.	The goblins hurt others.	entailment	unreal	unembedded	positive
The dragons hit the ball.	The dragons hit the ball.	entailment	unreal	unembedded	positive
The zombies thrust the fork into the cake.	The zombies thrust the fork into the cake.	entailment	unreal	unembedded	positive
The zombies hit the gong.	The zombies hit the gong.	entailment	unreal	unembedded	positive
The vampires broadcast the message.	The vampires broadcast the message.	entailment	unreal	unembedded	positive
The griffins set the table.	The griffins set the table.	entailment	unreal	unembedded	positive
The unicorns read the letter.	The unicorns read the letter.	entailment	unreal	unembedded	positive
The krakens read the letter.	The krakens read the letter.	entailment	unreal	unembedded	positive
The zombies thrust the fork into the cake.	The zombies thrust the fork into the cake.	entailment	unreal	unembedded	positive
The centaurs spread the rumor.	The centaurs spread the rumor.	entailment	unreal	unembedded	positive
The dragons put the book on the shelf.	The dragons put the book on the shelf.	entailment	unreal	unembedded	positive
The mermaids spread the rumor.	The mermaids spread the rumor.	entailment	unreal	unembedded	positive
The goblins cast bronze into a statue.	The goblins cast bronze into a statue.	entailment	unreal	unembedded	positive
The mermaids hit the gong.	The mermaids hit the gong.	entailment	unreal	unembedded	positive
The dragons set the table.	The dragons set the table.	entailment	unreal	unembedded	positive
The zombies upset the boat.	The zombies upset the boat.	entailment	unreal	unembedded	positive
The zombies shut the door.	The zombies shut the door.	entailment	unreal	unembedded	positive
The dragons hit the ball.	The dragons hit the ball.	entailment	unreal	unembedded	positive
The mermaids read the letter.	The mermaids read the letter.	entailment	unreal	unembedded	positive
The centaurs hit the gong.	The centaurs hit the gong.	entailment	unreal	unembedded	positive
The mermaids hit the ball.	The mermaids hit the ball.	entailment	unreal	unembedded	positive
The mermaids thrust the fork into the cake.	The mermaids thrust the fork into the cake.	entailment	unreal	unembedded	positive
The centaurs hurt others.	The centaurs hurt others.	entailment	unreal	unembedded	positive
The griffins hit the ball.	The griffins hit the ball.	entailment	unreal	unembedded	positive
The krakens broadcast the message.	The krakens broadcast the message.	entailment	unreal	unembedded	positive
The krakens cast bronze into a statue.	The krakens cast bronze into a statue.	entailment	unreal	unembedded	positive
The centaurs cut the ribbon.	The centaurs cut the ribbon.	entailment	unreal	unembedded	positive
The unicorns cut the ribbon.	The unicorns cut the ribbon.	entailment	unreal	unembedded	positive
The mermaids put the book on the shelf.	The mermaids put the book on the shelf.	entailment	unreal	unembedded	positive
The goblins burst into the room.	The goblins burst into the room.	entailment	unreal	unembedded	positive
The trolls put the book on the shelf.	The trolls put the book on the shelf.	entailment	unreal	unembedded	positive
The unicorns cut the ribbon.	The unicorns cut the ribbon.	entailment	unreal	unembedded	positive
The krakens spread the rumor.	The krakens spread the rumor.	entailment	unreal	unembedded	positive
The zombies cut the ribbon.	The zombies cut the ribbon.	entailment	unreal	unembedded	positive
The centaurs hit the gong.	The centaurs hit the gong.	entailment	unreal	unembedded	positive
The dragons spread the rumor.	The dragons spread the rumor.	entailment	unreal	unembedded	positive
The unicorns hit the lights.	The unicorns hit the lights.	entailment	unreal	unembedded	positive
The griffins cut the ribbon.	The griffins cut the ribbon.	entailment	unreal	unembedded	positive
The goblins hit the gong.	The goblins hit the gong.	entailment	unreal	unembedded	positive
The unicorns put the book on the shelf.	The unicorns put the book on the shelf.	entailment	unreal	unembedded	positive
The zombies let the dog in.	The zombies let the dog in.	entailment	unreal	unembedded	positive
The krakens broadcast the message.	The krakens broadcast the message.	entailment	unreal	unembedded	positive
The centaurs cut the ribbon.	The centaurs cut the ribbon.	entailment	unreal	unembedded	positive
The goblins hit the ball.	The goblins hit the ball.	entailment	unreal	unembedded	positive
The zombies read the letter.	The zombies read the letter.	entailment	unreal	unembedded	positive
The zombies upset the boat.	The zombies upset the boat.	entailment	unreal	unembedded	positive
The unicorns spread the rumor.	The unicorns spread the rumor.	entailment	unreal	unembedded	positive
The dragons hurt others.	The dragons hurt others.	entailment	unreal	unembedded	positive
The krakens hit the gong.	The krakens hit the gong.	entailment	unreal	unembedded	positive
The griffins shut the door.	The griffins shut the door.	entailment	unreal	unembedded	positive
The centaurs thrust the fork into the cake.	The centaurs thrust the fork into the cake.	entailment	unreal	unembedded	positive
The griffins set the table.	The griffins set the table.	entailment	unreal	unembedded	positive
The goblins burst into the room.	The goblins burst into the room.	entailment	unreal	unembedded	positive
The centaurs slit the envelope.	The centaurs did not slit the envelope.	contradiction	unreal	unembedded	negative
The goblins let the dog in.	The goblins did not let the dog in.	contradiction	unreal	unembedded	negative
The centaurs spread the rumor.	The centaurs did not spread the rumor.	contradiction	unreal	unembedded	negative
The vampires read the letter.	The vampires did not read the letter.	contradiction	unreal	unembedded	negative
The vampires read the letter.	The vampires did not read the letter.	contradiction	unreal	unembedded	negative
The zombies cut the ribbon.	The zombies did not cut the ribbon.	contradiction	unreal	unembedded	negative
The vampires spread the rumor.	The vampires did not spread the rumor.	contradiction	unreal	unembedded	negative
The trolls hit the lights.	The trolls did not hit the lights.	contradiction	unreal	unembedded	negative
The dragons broadcast the message.	The dragons did not broadcast the message.	contradiction	unreal	unembedded	negative
The trolls read the letter.	The trolls did not read the letter.	contradiction	unreal	unembedded	negative
The vampires upset the boat.	The vampires did not upset the boat.	contradiction	unreal	unembedded	negative
The trolls hit the lights.	The trolls did not hit the lights.	contradiction	unreal	unembedded	negative
The vampires slit the envelope.	The vampires did not slit the envelope.	contradiction	unreal	unembedded	negative
The zombies cast bronze into a statue.	The zombies did not cast bronze into a statue.	contradiction	unreal	unembedded	negative
The vampires broadcast the message.	The vampires did not broadcast the message.	contradiction	unreal	unembedded	negative
The unicorns let the dog in.	The unicorns did not let the dog in.	contradiction	unreal	unembedded	negative
The griffins put the book on the shelf.	The griffins did not put the book on the shelf.	contradiction	unreal	unembedded	negative
The zombies hit the ball.	The zombies did not hit the ball.	contradiction	unreal	unembedded	negative
The unicorns put on a jacket.	The unicorns did not put on a jacket.	contradiction	unreal	unembedded	negative
The krakens broadcast the message.	The krakens did not broadcast the message.	contradiction	unreal	unembedded	negative
The krakens put on a jacket.	The krakens did not put on a jacket.	contradiction	unreal	unembedded	negative
The dragons spread the rumor.	The dragons did not spread the rumor.	contradiction	unreal	unembedded	negative
The trolls hit the gong.	The trolls did not hit the gong.	contradiction	unreal	unembedded	negative
The vampires put on a jacket.	The vampires did not put on a jacket.	contradiction	unreal	unembedded	negative
The mermaids hit the ball.	The mermaids did not hit the ball.	contradiction	unreal	unembedded	negative
The unicorns cast bronze into a statue.	The unicorns did not cast bronze into a statue.	contradiction	unreal	unembedded	negative
The trolls burst into the room.	The trolls did not burst into the room.	contradiction	unreal	unembedded	negative
The krakens cast bronze into a statue.	The krakens did not cast bronze into a statue.	contradiction	unreal	unembedded	negative
The centaurs hit the gong.	The centaurs did not hit the gong.	contradiction	unreal	unembedded	negative
The dragons cut the ribbon.	The dragons did not cut the ribbon.	contradiction	unreal	unembedded	negative
The unicorns broadcast the message.	The unicorns did not broadcast the message.	contradiction	unreal	unembedded	negative
The trolls put the book on the shelf.	The trolls did not put the book on the shelf.	contradiction	unreal	unembedded	negative
The vampires hurt others.	The vampires did not hurt others.	contradiction	unreal	unembedded	negative
The dragons put on a jacket.	The dragons did not put on a jacket.	contradiction	unreal	unembedded	negative
The centaurs cast bronze into a statue.	The centaurs did not cast bronze into a statue.	contradiction	unreal	unembedded	negative
The mermaids thrust the fork into the cake.	The mermaids did not thrust the fork into the cake.	contradiction	unreal	unembedded	negative
The zombies put on a jacket.	The zombies did not put on a jacket.	contradiction	unreal	unembedded	negative
The centaurs hit the gong.	The centaurs did not hit the gong.	contradiction	unreal	unembedded	negative
The dragons set the table.	The dragons did not set the table.	contradiction	unreal	unembedded	negative
The krakens cast bronze into a statue.	The krakens did not cast bronze into a statue.	contradiction	unreal	unembedded	negative
The vampires spread the rumor.	The vampires did not spread the rumor.	contradiction	unreal	unembedded	negative
The mermaids cast bronze into a statue.	The mermaids did not cast bronze into a statue.	contradiction	unreal	unembedded	negative
The unicorns hit the ball.	The unicorns did not hit the ball.	contradiction	unreal	unembedded	negative
The centaurs set the table.	The centaurs did not set the table.	contradiction	unreal	unembedded	negative
The zombies hurt others.	The zombies did not hurt others.	contradiction	unreal	unembedded	negative
The goblins set the table.	The goblins did not set the table.	contradiction	unreal	unembedded	negative
The griffins put the book on the shelf.	The griffins did not put the book on the shelf.	contradiction	unreal	unembedded	negative
The mermaids set the table.	The mermaids did not set the table.	contradiction	unreal	unembedded	negative
The goblins read the letter.	The goblins did not read the letter.	contradiction	unreal	unembedded	negative
The centaurs cast bronze into a statue.	The centaurs did not cast bronze into a statue.	contradiction	unreal	unembedded	negative
The goblins spread the rumor.	The goblins did not spread the rumor.	contradiction	unreal	unembedded	negative
The goblins slit the envelope.	The goblins did not slit the envelope.	contradiction	unreal	unembedded	negative
